sample_id,otu_count
67572,97
35170,75
97270,112
41721,187
93557,139
76530,129
46272,98
50785,102
69143,156
15140,172
12341,40
71881,117
90165,90
83000,87
27707,118
87043,115
14682,109
73899,55
30743,85
74532,90
4737,118
99174,72
50446,121
15276,118
16353,128
9188,118
26531,74
48287,104
47013,92
37927,115
23573,67
98726,48
2739,53
38115,72
79377,84
97696,78
98978,90
27786,66
31421,58
15568,99
6752,128
14887,30
84430,52
44328,107
13368,103
33439,153
28543,131
17368,65
92641,97
26044,95
72553,127
69442,132
39660,77
1203,98
78769,76
16369,60
26612,103
12122,102
30701,35
23440,87
31457,76
33676,64
30309,89
15462,56
26496,96
13619,139
76709,70
58836,128
3436,150
35781,150
72559,49
63265,247
14547,79
65723,143
4734,156
1892,122
63112,73
3651,115
43227,155
52300,36
67009,115
74414,114
93409,87
67448,140
101035,57
26134,56
74711,103
30587,107
20491,119
89373,135
29408,200
68046,66
32848,170
21169,120
6819,155
22446,35
50481,263
42018,71
23779,149
1197,107
26033,102
22606,86
9562,99
42568,92
68095,111
3161,66
75945,129
52146,83
33231,56
27621,156
58919,115
79003,114
69598,64
66508,75
2404,55
67710,91
68047,98
94529,51
68155,78
84412,105
58495,86
97057,76
11338,100
4159,79
70737,106
4026,128
93038,145
89544,80
13165,70
12267,145
40402,102
58769,93
10172,76
9580,109
66865,97
41606,61
41949,44
31840,117
18054,79
1654,78
22911,26
72842,58
16274,87
65894,68
51183,46
10816,87
69230,125
4012,53
69107,274
69670,109
98411,66
5164,40
69651,61
14304,66
29485,169
71443,77
20785,106
71397,56
98924,60
63071,94
90511,79
68082,125
2457,132
65315,66
15072,109
30281,127
38338,111
9127,97
29311,121
18306,81
58600,75
9710,84
40383,172
1311,100
72254,69
91002,106
22917,84
79424,80
84459,118
20612,92
22484,46
52402,84
17094,105
13720,99
50565,58
10117,111
5167,21
71532,64
103637,111
82870,113
31516,114
15509,32
2064,117
97641,109
21834,118
98928,51
86644,134
72010,102
96872,109
5433,101
35779,77
3302,116
2466,86
29490,59
46987,84
50589,89
12184,118
39718,69
93588,56
32921,160
30569,55
5792,36
89519,56
67746,88
93591,43
74221,111
13595,78
92966,84
58391,113
60028,75
39699,71
79038,167
71916,158
21969,48
22320,111
48934,40
39673,104
12284,173
26055,115
4238,55
52336,113
18081,153
70720,113
4736,136
