	faith_pd
10317.000023681.3099	14.05699
10317.000028593.3022	13.119530000000001
10317.000041303.26484	10.397269999999999
10317.000022953.3018	13.64948
10317.000015004.2917	5.67176
10317.000059151.25501	19.84715
10317.000046709.4033	15.434680000000002
10317.000015118.3018	22.471140000000002
10317.000001541.2948	18.70233
10317.000070844.50470	14.438280000000002
10317.000069276.31503	13.702290000000001
10317.000016257.2921	20.65887
10317.000001171.2948	11.425139999999999
10317.000068303.25862	16.80264
10317.000073760.45578	6.5858
10317.000040396.25501	11.747000000000002
10317.000012920.2911	12.247139999999998
10317.000037917.32981	20.36091
10317.000071445.31503	12.6106
10317.000001496.2911	8.221070000000001
10317.000014220.2917	12.232109999999999
10317.000006741.2905	16.365959999999998
10317.000047681.7852	15.65578
10317.000013787.3018	11.80073
10317.000066752.45578	5.100780000000001
10317.000009181.2907	7.135349999999999
10317.000021818.3018	11.72916
10317.000046712.4033	15.372580000000001
10317.000060294.42299	18.224709999999998
10317.000039632.25853	9.50446
10317.000067929.26479	11.30435
10317.000011074.3516	15.933440000000001
10317.000013988.2917	18.619749999999996
10317.000079153.53379	23.75615
10317.000097828.54638	14.456900000000003
10317.000040507.4016	19.09401
10317.000097763.54638	11.210359999999998
10317.000052342.4491	7.895670000000001
10317.000036147.26484	19.222730000000002
10317.000050536.46739	8.132499999999999
10317.000048266.4491	15.171660000000001
10317.000067639.26479	16.17717
10317.000058708.26478	20.641669999999998
10317.000017712.2988	16.086869999999998
10317.000002803.2911	16.23161
10317.000063235.26480	26.556549999999998
10317.000084538.42298	10.41151
10317.000093611.53379	17.155530000000002
10317.000099230.56187	16.672340000000002
10317.000054289.30606	11.472439999999999
10317.000098925.56187	14.987639999999999
10317.000047785.25501	14.339499999999997
10317.000033581.32981	6.510210000000001
10317.000070625.26478	12.96947
10317.000068023.26479	18.2003
10317.000097711.54638	15.513209999999999
10317.000009144.2907	9.30848
10317.000033327.4016	12.905189999999997
10317.000074392.42299	13.759699999999997
10317.000020730.3020	11.21355
10317.000003082.2946	8.09863
10317.000013748.2923	24.12888
10317.000046250.26479	9.05391
10317.000040090.4016	18.70217
10317.000072173.50470	19.862650000000002
10317.000014534.2917	14.26212
10317.000032877.25862	16.0854
10317.000032781.3098	23.62597
10317.000023392.3020	9.990820000000001
10317.000015703.32954	14.58061
10317.000051536.4491	14.71209
10317.000017399.3516	9.296510000000001
10317.000046898.4033	9.11633
10317.000001378.2960	15.55675
10317.000020593.2982	20.26033
10317.000004915.2946	16.39623
10317.000067551.26479	21.60148
10317.000073810.42298	8.64071
10317.000014929.2913	14.487439999999998
10317.000059951.33800	14.559349999999998
10317.000031146.2982	9.40294
10317.000030627.2982	9.962219999999999
10317.000070694.50470	12.757740000000002
10317.000082698.45578	14.80453
10317.000065571.26478	17.732519999999997
10317.000013684.2988	13.611229999999997
10317.000050259.25501	9.50248
10317.000023733.25370	9.05266
10317.000028908.3022	21.33387
10317.000069382.30606	13.000630000000001
10317.000090528.52698	11.20914
10317.000016371.2919	14.02224
10317.000003794.2946	11.62655
10317.000028545.2982	16.49195
10317.000013906.2932	13.94936
10317.000079020.48742	21.462930000000004
10317.000038028.26484	21.12071
10317.000013976.2917	11.488000000000001
10317.000047621.25498	21.42981
10317.000054114.25862	17.177819999999997
10317.000042812.56079	15.533520000000001
10317.000074142.45578	15.52237
10317.000066834.31503	17.0234
10317.000040376.3516	10.98788
10317.000101041.56079	18.772129999999997
10317.000020600.3020	11.901359999999997
10317.000029525.2982	9.449409999999999
10317.000013165.2913	12.61602
10317.000063091.25370	14.459800000000001
10317.000076720.54638	14.057319999999999
10317.000033146.7852	16.119429999999998
10317.000007220.26483	16.098850000000002
10317.000027210.3022	18.02474
10317.000074779.41931	5.3579099999999995
10317.000042891.31503	11.058330000000002
10317.000076726.52698	7.711599999999999
10317.000020105.2988	13.57486
10317.000047692.7852	13.9223
10317.000039644.25853	15.689049999999998
10317.000063486.31503	16.090049999999998
10317.000039892.32981	16.84479
10317.000004848.2907	12.96285
10317.000001194.2948	7.23476
10317.000078797.45578	12.942229999999999
10317.000100385.56079	16.05215
10317.000097805.54638	12.984729999999999
10317.000039604.25498	12.560970000000001
10317.000068984.26480	17.34723
10317.000058497.25501	7.68102
10317.000059064.25853	18.34889
10317.000069047.26480	25.893039999999996
10317.000038269.25501	20.16833
10317.000041275.3080	14.105449999999998
10317.000075904.51570	16.701050000000002
10317.000058895.25862	18.63006
10317.000014524.2913	18.52363
10317.000042627.48742	16.77762
10317.000051225.4021	9.837899999999998
10317.000018339.2988	16.480990000000002
10317.000047673.26478	18.87339
10317.000007414.26483	15.31888
10317.000084266.42298	12.09291
10317.000046344.7852	16.32116
10317.000022898.3018	9.55457
10317.000042017.4583	7.883329999999999
10317.000001156.2907	20.48834
10317.000052259.25501	4.69136
10317.000050634.46739	18.69916
10317.000041678.7852	21.70171
10317.000006675.2907	20.38482
10317.000014909.2913	9.587299999999999
10317.000017111.25370	10.256630000000001
10317.000026635.2982	14.84738
10317.000067905.26479	8.65289
10317.000028212.26478	17.97111
10317.000006927.2905	7.3158
10317.000041712.4016	19.29745
10317.000069610.26478	8.80884
10317.000020514.2988	17.523429999999998
10317.000011275.2917	17.427099999999996
10317.000039677.26480	10.614629999999998
10317.000098343.62401	9.50607
10317.000023254.2982	10.90637
10317.000007615.26483	16.94899
10317.000013822.2917	19.17325
10317.000031595.2982	11.58424
10317.000041631.3516	11.797099999999999
10317.000059092.25370	12.099089999999999
10317.000073323.50470	14.37566
10317.000036870.3099	11.315299999999999
10317.000042611.4491	15.79711
